Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
2.000000e-03 4.978928e-01 1.667413e+02 9.876483e+01     Pix  3 70
2.000000e-03 4.304751e-01 1.732783e+02 9.564375e+01     Pix  3 71
2.000000e-03 5.620736e-01 1.666884e+02 9.679297e+01     Pix  3 72
2.000000e-03 5.200486e-01 1.689583e+02 9.493830e+01     Pix  3 73
2.000000e-03 5.023249e-01 1.702590e+02 9.306841e+01     Pix  3 74
2.000000e-03 5.244040e-01 1.669958e+02 9.684552e+01     Pix  3 75
2.000000e-03 4.786875e-01 1.699927e+02 9.539190e+01     Pix  3 76
2.000000e-03 5.430669e-01 1.667081e+02 9.712100e+01     Pix  3 77
2.000000e-03 5.042011e-01 1.707674e+02 9.346394e+01     Pix  3 78
1.999996e-03 5.844247e-01 1.615373e+02 9.851397e+01     Pix  3 79
2.000000e-03 4.507931e-01 1.753925e+02 9.260721e+01     Pix  4  0
2.000000e-03 4.476057e-01 1.742530e+02 9.392805e+01     Pix  4  1
2.000000e-03 4.327537e-01 1.754597e+02 9.298610e+01     Pix  4  2
2.000000e-03 3.915653e-01 1.768729e+02 9.348213e+01     Pix  4  3
2.000000e-03 3.959051e-01 1.775336e+02 9.343070e+01     Pix  4  4
2.000000e-03 3.925657e-01 1.778899e+02 9.384907e+01     Pix  4  5
2.000000e-03 4.811655e-01 1.746795e+02 9.573798e+01     Pix  4  6
2.000000e-03 4.589940e-01 1.748717e+02 9.267900e+01     Pix  4  7
2.000000e-03 4.288936e-01 1.776271e+02 9.211812e+01     Pix  4  8
2.000000e-03 4.764966e-01 1.727911e+02 9.465904e+01     Pix  4  9
2.000000e-03 4.353411e-01 1.776772e+02 9.106608e+01     Pix  4 10
2.000000e-03 4.478187e-01 1.753505e+02 9.307350e+01     Pix  4 11
2.000000e-03 4.332451e-01 1.794757e+02 8.926638e+01     Pix  4 12
2.000000e-03 5.003608e-01 1.747206e+02 9.209755e+01     Pix  4 13
2.000000e-03 4.666446e-01 1.791795e+02 9.071554e+01     Pix  4 14
2.000000e-03 4.626392e-01 1.740477e+02 9.322513e+01     Pix  4 15
2.000000e-03 4.318222e-01 1.752765e+02 9.541262e+01     Pix  4 16
2.000000e-03 4.119116e-01 1.796186e+02 9.181643e+01     Pix  4 17
2.000000e-03 4.898177e-01 1.723488e+02 9.466852e+01     Pix  4 18
2.000000e-03 4.564346e-01 1.787607e+02 9.003126e+01     Pix  4 19
2.000000e-03 4.398227e-01 1.807352e+02 8.798817e+01     Pix  4 20
2.000000e-03 4.714375e-01 1.771037e+02 9.158031e+01     Pix  4 21
